;;;;;
Nr.;Intensit„t;?Intensit„t;Position;?Position;Lage
1;3782;7;1120;2;0 Max
2;104;5;1033;2;-1 Min
3;316;3;997;4;-1 Max
4;97;3;950;2;-2 Max
5;170;5;918;4;-2 Min
6;93;1;872;4;-3 Min
7;87;3;421;3;- Hintergrund
8;103;3;1202;2;+1 Min
9;298;3;1233;2;+1 Max
10;92;2;1283;2;+2 Min
11;160;1;1320;4;+2 Max
12;91;3;1363;4;+3 Min
13;87;3;1800;0;+ Hintergrund
