1	1168
2	1024
3	985
4	979
5	937
6	969
7	931
8	889
9	891
10	843
11	910
12	884
13	906
14	849
15	805
16	835
17	805
18	778
19	704
20	733
21	576
22	489
23	462
24	466
25	451
